file,size_mb,purpose
all_seizure_peak_bin_matrix.csv,0.048,"47 seizure columns with (bin, probability) entries"
all_seizure_peak_readings.csv,0.448,one peak bin and probability per reading
all_seizure_reading_probabilities.csv,29.031,every reading × every future-bin probability
ARTIFACT_INVENTORY.csv,0.002,prior/generated analysis artifact
development_warning_curve.csv,0.012,prior/generated analysis artifact
episode_manifest.csv,0.042,all selected seizure/control EDF episodes
episode_manifest_metadata.json,0.001,prior/generated analysis artifact
forecast_evaluation.png,0.09,prior/generated analysis artifact
global_permutation_importance.csv,0.013,global validation feature importance
holdout_landmark_probabilities.csv,2.676,prior/generated analysis artifact
holdout_metrics.csv,0.001,prior/generated analysis artifact
holdout_patient_metrics.csv,0.0,prior/generated analysis artifact
local_counterfactual_explanation.csv,0.015,local test-forecast sensitivity
model_interpretability.png,0.219,global and local interpretation plots
moving_horizon_rolling_example.csv,0.025,prior/generated analysis artifact
moving_horizon_rolling_example.png,0.109,prior/generated analysis artifact
rolling_discrete_hazard_model.joblib,63.358,"trained model, parameters, split, and metrics"
seizure_split_allocation.csv,0.003,exact random seed-42 seizure assignment
study_summary.csv,0.0,prior/generated analysis artifact
test_alarm_dashboard.png,0.089,final held-out alarm dashboard and confusion matrix
test_alarm_dashboard_metrics.csv,0.0,"final held-out sensitivity, AUROC, and false alarms"
test_landmark_probabilities.csv,3.614,all test landmark forecasts
test_metrics.csv,0.001,held-out test performance
test_patient_metrics.csv,0.001,prior/generated analysis artifact
test_peak_bin_matrix.csv,0.009,test-only readable peak matrix
test_reading_probability_heatmaps.png,0.221,all test reading probability graphs
validation_landmark_probabilities.csv,1.801,all validation landmark forecasts
validation_metrics.csv,0.001,validation performance
validation_patient_metrics.csv,0.0,prior/generated analysis artifact
validation_warning_curve.csv,0.012,prior/generated analysis artifact
